host,n_resources,total_transactions
api.questflow.ai,14,5734
mesh.heurist.xyz,12,2264
api.ping.observer,7,2124
x402.arvos.xyz,5,244
x402-secure-api.t54.ai,4,2921
payx402.fun,4,749
nut402.codenut.xyz,3,663
api.canza.app,3,58
basepost.vercel.app,3,590
pay.codenut.ai,3,1780
api.barvis.io,2,398
pay.boo402.xyz,2,979
polymarketeer.vercel.app,2,159
x721.dev,2,674
pong.ink,2,362
x402.lucyos.ai,1,992
pay.lnpay.ai,1,259
x420.dev,1,826
x420.x420.dev,1,30
places-api.x402hub.xyz,1,18
www.x402rocks.xyz,1,407
boofy.fun,1,151
x402song.com,1,98
x402-demo-discovery-endpoint.vercel.app,1,32
www.402bnb.fun,1,171
x402-tools.vercel.app,1,140
basehope.org,1,725
staging-echo.merit.systems,1,475
wavacoin.xyz,1,32
token-api.x402hub.xyz,1,623
www.datadon.xyz,1,180
www.xplace.dev,1,222
gxfc.world,1,244
prb.x420.dev,1,53
www.ritmex.one,1,101
api.spac402.xyz,1,251
basetomcat.com,1,380
